incident_id,incident_name,incident_longitude,incident_latitude,incident_county,incident_date_last_update,incident_dateonly_created,incident_dateonly_extinguished,incident_location,incident_acres_burned,incident_url,is_active
47a47e9a-ab8a-4f4c-91fb-3504843cdf45,Deep Fire,-122.94871,40.93686,Trinity,2023-12-05T14:29:17Z,2023-08-16,2023-10-02,Stuart Fork drainage,4198,https://www.fire.ca.gov/incidents/2023/8/16/deep-fire/,N
b552934b-98f7-48dd-bbd5-33e1caf89817,Slide 1 Fire,-122.855,40.036944,Tehama,2023-12-05T14:28:23Z,2023-08-16,2023-08-22,North of Mount Linn,473,https://www.fire.ca.gov/incidents/2023/8/16/slide-1-fire/,N
d9e259d7-24d5-4e15-b9df-0c23fac25f9c,Smith River Complex,-123.868447,41.958269,Del Norte,2023-12-05T14:30:00Z,2023-08-15,2023-11-17,"South of the Oregon border, northeast of High Plateau Mountain",95107,https://www.fire.ca.gov/incidents/2023/8/15/smith-river-complex/,N
ffa56129-0d5e-4ec5-bfae-3440757d9deb,Cochrane Fire,-121.67208,37.18725,Santa Clara,2023-08-23T14:24:33Z,2023-08-16,2023-08-23,Hwy 101 and Coyote Creek Golf Drive in North Morgan Hill,72,https://www.fire.ca.gov/incidents/2023/8/16/cochrane-fire/,N
1c3481f5-3d33-40a2-8f24-5edbebc17d6c,Thirty Five Fire,-122.3287,39.6194,Glenn,2023-08-17T18:19:56Z,2023-08-17,2023-08-17,"County Road 35 and County Road 33, west of Artois",109,https://www.fire.ca.gov/incidents/2023/8/17/thirty-five-fire/,N
243c4ae4-f7eb-44f4-b5e8-ff8c4baaccd5,Coyote Fire,-116.6415,32.6347,San Diego,2023-12-05T14:19:07Z,2023-08-17,2023-08-20,Coyote Holler Road and Round Potrero Road,466,https://www.fire.ca.gov/incidents/2023/8/17/coyote-fire/,N
2b9ad272-c3c1-4de1-870d-d35b1e383912,Happy Camp Complex,-123.045093,41.777554,Siskiyou,2023-12-05T14:30:30Z,2023-08-16,2023-10-31,Klamath National Forest and Happy Camp Ranger District near Scott Bar,21725,https://www.fire.ca.gov/incidents/2023/8/16/happy-camp-complex/,N
5608557c-4576-40ac-8f63-a8f428d62117,South Fork Complex,-123.662677,40.623606,Trinity,2023-12-05T14:31:48Z,2023-08-15,2023-11-01,"Little Pilot Rock, Bridgeville",3929,https://www.fire.ca.gov/incidents/2023/8/15/south-fork-complex/,N
e3297f9e-f753-49b6-9cdf-78700edde34f,Plant Fire,-119.73328,34.9190169,Santa Barbara,2023-12-05T14:20:04Z,2023-08-19,2023-08-30,"Aliso Park Road and Foothill Road, New Cuyama",5464,https://www.fire.ca.gov/incidents/2023/8/19/plant-fire/,N
ad8025a3-0060-49db-a048-bce567ee0a57,SRF Lightning Complex,-123.611167,41.017222,Humboldt,2023-12-05T14:31:03Z,2023-08-20,2023-10-29,Humboldt County,50198,https://www.fire.ca.gov/incidents/2023/8/20/srf-lightning-complex/,N
4adc26cb-281f-44ef-b6e2-f3509f1c03be,Creek Fire,-122.601667,38.903333,Lake,2023-09-11T12:28:18Z,2023-09-06,2023-09-11,"Highway 29 and Clayton Creek Road, south of Lower Lake in Lake County",28,https://www.fire.ca.gov/incidents/2023/9/6/creek-fire/,N
6d65a6f6-b12a-4ed9-94b9-7f90246c8615,Knoll Fire,-120.7942,38.18291,Calaveras,2023-09-13T08:09:14Z,2023-09-10,2023-09-12,New Hogan Lake near Valley Springs,32,https://www.fire.ca.gov/incidents/2023/9/10/knoll-fire/,N
81a42060-b157-40e7-bbb0-a9371a2435c3,Alta Fire,-122.1796,38.3702,Napa,2023-09-15T14:59:13Z,2023-09-12,2023-09-13,"Wooden Valley Rd and White Creek, northeast of Napa",14,https://www.fire.ca.gov/incidents/2023/9/12/alta-fire/,N
6c0acbd1-309a-4555-9161-3b757f38d2cc,Caliente Fire,-118.616,35.2674,Kern,2023-09-19T14:11:04Z,2023-09-16,2023-09-17,East of Bealville Road and West of Keene,55,https://www.fire.ca.gov/incidents/2023/9/16/caliente-fire/,N
f9914d6e-0e0d-49ea-a754-5b380ce3cdf0,Meadow Fire,-117.279764,33.753608,Riverside,2023-09-29T15:17:49Z,2023-09-26,,"Sharp Road and Springs Street, Lake Elsinore",23,https://www.fire.ca.gov/incidents/2023/9/26/meadow-fire/,N
c5c1319d-b98a-4b1e-ac51-65d2f1c2de6f,Green Fire,-120.9739,35.5421,San Luis Obispo,2023-10-09T18:49:05Z,2023-10-06,2023-10-09,"6000 Block of Hwy 46 W., East of Cambria",243,https://www.fire.ca.gov/incidents/2023/10/6/green-fire/,N
a64fd824-e68a-43a8-bbeb-b153e0c752d6,Grade Fire,-120.1959,34.5423,Santa Barbara,2023-10-07T19:47:42Z,2023-10-06,,"Hwy 101 and Old Coast Hwy, South of Buellton",,https://www.fire.ca.gov/incidents/2023/10/6/grade-fire/,N
28eb14f9-bffb-482a-bcec-fab0c149e6cb,Williams Fire,-121.07148,36.0295,Monterey,2023-10-10T19:33:03Z,2023-10-06,,"Lockwood San Lucas Road and HWY 101, West of San Ardo",44,https://www.fire.ca.gov/incidents/2023/10/6/williams-fire/,N
8cb88028-9b7f-49a9-be2d-6d81c7e06193,Wiley Fire,-121.981732,38.265241,Solano,2023-10-11T15:16:10Z,2023-10-07,2023-10-10,"4600 block of Wiley Lane, Suisun",36,https://www.fire.ca.gov/incidents/2023/10/7/wiley-fire/,N
f145f362-b7fb-45e3-b98d-6583488db4f7,Avenales Fire,-120.1924,35.2087,San Luis Obispo,2023-10-25T13:25:24Z,2023-10-12,2023-10-17,"Avenales Ranch Road and Los Pelados Road, Southeast of Pozo",,https://www.fire.ca.gov/incidents/2023/10/12/avenales-fire/,N
8b16db9f-44f5-4559-b53f-8f01a916c91c,King Fire,-119.3594,37.2147,Madera,2023-10-31T14:21:57Z,2023-10-14,2023-10-27,"Kinsman Flat Road and Mammoth Road, North West of Shaver Lake",,https://www.fire.ca.gov/incidents/2023/10/14/king-fire/,N
