objectid,zone_id,label,globalid,shape_Length,shape_Area
2517,US-CA-XSD-SDC-0414,SDC-0414,{6E25DE7A-EB12-4B73-9971-18D7FAFF0F5A},31280.261351511682733,41622211.794820562005043
2518,US-CA-XSD-SDC-0948,SDC-0948,{5A1D5BF9-0E7F-4A1C-998C-651888D31516},32654.857464582186367,31922492.358139205724001
2519,US-CA-XSD-SDC-1350,SDC-1350,{D1728B2F-359E-4CF4-A9F5-18D0CF834AE8},21187.122997515965835,20541875.918097194284201
2520,US-CA-XSD-SDC-1161,SDC-1161,{C5CF3002-7A5B-49CE-A3AB-866AC19BB75B},18209.126143135505117,15073627.547884527593851
2521,US-CA-XSD-SDC-0407,SDC-0407,{B2D5BAAC-727C-49BC-9F50-2BA40F886ACA},50375.022171131044161,82176401.101930767297745
2522,US-CA-XSD-SDC-0958,SDC-0958,{ABBF55C4-8FA3-471F-8E5A-1047259F30D2},15056.037782428793435,8412159.647744625806808
2523,US-CA-XSD-SDC-0215,SDC-0215,{82056C20-1ECF-4ECD-84CC-0B8D81AC9B2F},20941.673452133243700,21028816.670902896672487
2524,US-CA-XSD-SDC-2128,SDC-2128,{BCC7C2C1-7A45-43ED-AC27-DCF17F21B1BF},18307.750340761827829,10441102.319656619802117
2525,US-CA-XSD-SDC-2585,SDC-2585,{5CEBF1A1-C7DC-4B88-B5CE-3DB2B69FAE8B},10568.463084972157958,5203536.253961200825870
2526,US-CA-XSD-SDC-1405,SDC-1405,{80C731ED-E14F-45A3-8873-9F3750EEA75A},20553.259784946425498,22005033.870536718517542
